alt_km,f107,rho,fO,fN2,fO2,T
1.72000000e+02,1.50000000e+02,6.92039426e-10,3.58193078e-01,5.96041391e-01,4.57655313e-02,8.50170715e+02
1.74000000e+02,1.50000000e+02,6.43028353e-10,3.65773388e-01,5.89783038e-01,4.44435732e-02,8.59488586e+02
1.76000000e+02,1.50000000e+02,5.98426753e-10,3.73311210e-01,5.83505189e-01,4.31836016e-02,8.68392761e+02
1.78000000e+02,1.50000000e+02,5.57742741e-10,3.80808184e-01,5.77210677e-01,4.19811388e-02,8.76902222e+02
1.80000000e+02,1.50000000e+02,5.20550825e-10,3.88265851e-01,5.70902202e-01,4.08319470e-02,8.85035095e+02
1.82000000e+02,1.50000000e+02,4.86479523e-10,3.95685819e-01,5.64581993e-01,3.97321881e-02,8.92809082e+02
1.84000000e+02,1.50000000e+02,4.55205013e-10,4.03069071e-01,5.58252610e-01,3.86783193e-02,9.00240417e+02
1.86000000e+02,1.50000000e+02,4.26444741e-10,4.10416683e-01,5.51916320e-01,3.76669968e-02,9.07345032e+02
1.88000000e+02,1.50000000e+02,3.99948435e-10,4.17728730e-01,5.45575949e-01,3.66953210e-02,9.14138000e+02
1.90000000e+02,1.50000000e+02,3.75497328e-10,4.25005767e-01,5.39233818e-01,3.57604148e-02,9.20633118e+02
1.92000000e+02,1.50000000e+02,3.52896989e-10,4.32248196e-01,5.32892015e-01,3.48597888e-02,9.26844421e+02
1.94000000e+02,1.50000000e+02,3.31975614e-10,4.39455758e-01,5.26553139e-01,3.39911031e-02,9.32784729e+02
1.96000000e+02,1.50000000e+02,3.12580573e-10,4.46628783e-01,5.20218986e-01,3.31522305e-02,9.38466675e+02
1.98000000e+02,1.50000000e+02,2.94575309e-10,4.53766702e-01,5.13892058e-01,3.23412403e-02,9.43901550e+02
2.00000000e+02,1.50000000e+02,2.77838502e-10,4.60869498e-01,5.07574158e-01,3.15563438e-02,9.49100647e+02
2.02000000e+02,1.50000000e+02,2.62261074e-10,4.67936265e-01,5.01267810e-01,3.07959245e-02,9.54074829e+02
2.04000000e+02,1.50000000e+02,2.47745463e-10,4.74967190e-01,4.94974327e-01,3.00584830e-02,9.58834167e+02
2.06000000e+02,1.50000000e+02,2.34204017e-10,4.81961155e-01,4.88696137e-01,2.93427086e-02,9.63388306e+02
2.08000000e+02,1.50000000e+02,2.21557189e-10,4.88917852e-01,4.82434805e-01,2.86473425e-02,9.67746582e+02
2.10000000e+02,1.50000000e+02,2.09733758e-10,4.95836510e-01,4.76192193e-01,2.79712971e-02,9.71917664e+02
2.12000000e+02,1.50000000e+02,1.98669151e-10,5.02716266e-01,4.69970179e-01,2.73135552e-02,9.75910095e+02
2.14000000e+02,1.50000000e+02,1.88304566e-10,5.09556277e-01,4.63770574e-01,2.66731494e-02,9.79731628e+02
2.16000000e+02,1.50000000e+02,1.78586840e-10,5.16355712e-01,4.57595010e-01,2.60492778e-02,9.83390137e+02
2.18000000e+02,1.50000000e+02,1.69467620e-10,5.23114160e-01,4.51444720e-01,2.54411206e-02,9.86892883e+02
2.20000000e+02,1.50000000e+02,1.60902819e-10,5.29829882e-01,4.45322115e-01,2.48480032e-02,9.90246521e+02
2.22000000e+02,1.50000000e+02,1.52852189e-10,5.36502791e-01,4.39227927e-01,2.42692826e-02,9.93457947e+02
2.24000000e+02,1.50000000e+02,1.45278900e-10,5.43131502e-01,4.33164137e-01,2.37043602e-02,9.96533508e+02
2.26000000e+02,1.50000000e+02,1.38149339e-10,5.49715429e-01,4.27131868e-01,2.31527023e-02,9.99478882e+02
2.28000000e+02,1.50000000e+02,1.31432601e-10,5.56253693e-01,4.21132514e-01,2.26137931e-02,1.00229993e+03
2.30000000e+02,1.50000000e+02,1.25100402e-10,5.62744961e-01,4.15167842e-01,2.20871964e-02,1.00500238e+03
2.32000000e+02,1.50000000e+02,1.19126695e-10,5.69188238e-01,4.09239263e-01,2.15724982e-02,1.00759125e+03
2.34000000e+02,1.50000000e+02,1.13487476e-10,5.75583324e-01,4.03347365e-01,2.10693108e-02,1.01007141e+03
2.36000000e+02,1.50000000e+02,1.08160758e-10,5.81928873e-01,3.97493877e-01,2.05772496e-02,1.01244788e+03
2.38000000e+02,1.50000000e+02,1.03126153e-10,5.88223701e-01,3.91680284e-01,2.00960148e-02,1.01472498e+03
2.40000000e+02,1.50000000e+02,9.83648718e-11,5.94467528e-01,3.85907201e-01,1.96252717e-02,1.01690723e+03
2.42000000e+02,1.50000000e+02,9.38594064e-11,6.00659335e-01,3.80175919e-01,1.91647461e-02,1.01899860e+03
2.44000000e+02,1.50000000e+02,8.95937768e-11,6.06797966e-01,3.74487850e-01,1.87141840e-02,1.02100305e+03
2.46000000e+02,1.50000000e+02,8.55529883e-11,6.12883018e-01,3.68843680e-01,1.82733028e-02,1.02292450e+03
2.48000000e+02,1.50000000e+02,8.17232740e-11,6.18913442e-01,3.63244653e-01,1.78419059e-02,1.02476636e+03
2.50000000e+02,1.50000000e+02,7.80917414e-11,6.24888863e-01,3.57691376e-01,1.74197609e-02,1.02653223e+03
2.52000000e+02,1.50000000e+02,7.46465112e-11,6.30808266e-01,3.52185103e-01,1.70066311e-02,1.02822522e+03
